mode,archetype,strategy,Environmental,Economic,Social,Technological,WSM,WSM_rank,TOPSIS,TOPSIS_rank
NO_BRIDGE_CREDIT,RO-A3,ENERGY,60.3332913563963,47.93990395143362,63.841316233119784,51.312518415991626,55.856757489235335,2,71.3563252656919,2
NO_BRIDGE_CREDIT,RO-A3,MAINT,50.88501456611488,51.373175288821834,63.841316233119784,51.312518415991626,54.35300612601203,3,30.397980222792963,3
NO_BRIDGE_CREDIT,RO-A3,CIRCULAR,51.548584108641975,47.610595769786045,63.841316233119784,51.312518415991626,53.57825363188486,5,17.47001181793489,5
NO_BRIDGE_CREDIT,RO-A3,DIGITAL,49.99349791107458,49.97284298424438,63.841316233119784,51.312518415991626,53.78004388610759,4,19.28909045347559,4
NO_BRIDGE_CREDIT,RO-A3,SOCIAL,49.32700046871658,48.45401755946619,63.841316233119784,51.312518415991626,53.23371316932354,6,7.0092824634400195,6
NO_BRIDGE_CREDIT,RO-A3,INTEGRATED,60.91141147240013,51.959865812768186,63.841316233119784,51.312518415991626,57.00627798356993,1,100.0,1
NO_BRIDGE_CREDIT,RO-A4,ENERGY,60.40488010843571,47.831315856816225,63.821031784991426,50.967555481705915,55.75619580798732,2,71.38609865087531,2
NO_BRIDGE_CREDIT,RO-A4,MAINT,50.84524779944822,51.28232788601888,63.821031784991426,50.967555481705915,54.22904073804111,3,30.335528996445905,3
NO_BRIDGE_CREDIT,RO-A4,CIRCULAR,51.50881734197531,47.50358801308226,63.821031784991426,50.967555481705915,53.45024815543873,5,17.343417716769135,5
NO_BRIDGE_CREDIT,RO-A4,DIGITAL,49.95373114440791,49.88666535597391,63.821031784991426,50.967555481705915,53.657245941769794,4,19.327136924232,4
NO_BRIDGE_CREDIT,RO-A4,SOCIAL,49.28723370204991,48.34827653864431,63.821031784991426,50.967555481705915,53.10602437684789,6,6.982872972313192,6
NO_BRIDGE_CREDIT,RO-A4,INTEGRATED,60.954918563835605,51.88228743749199,63.821031784991426,50.967555481705915,56.90644831700623,1,100.0,1
NO_BRIDGE_CREDIT,RO-A5,ENERGY,60.04801061207269,47.92483774218745,63.838392546652905,51.558920511909996,55.842540353205756,2,70.81387034420786,2
NO_BRIDGE_CREDIT,RO-A5,MAINT,50.91341939944822,51.34508525461547,63.838392546652905,51.558920511909996,54.41395442815665,3,30.812453035258002,3
NO_BRIDGE_CREDIT,RO-A5,CIRCULAR,51.57698894197531,47.59669094831649,63.838392546652905,51.558920511909996,53.642748237213674,5,17.777174463051985,5
NO_BRIDGE_CREDIT,RO-A5,DIGITAL,50.02190274440791,49.94342077808717,63.838392546652905,51.558920511909996,53.840659145264496,4,19.507050705314946,4
NO_BRIDGE_CREDIT,RO-A5,SOCIAL,49.3554053020499,48.436357569784136,63.838392546652905,51.558920511909996,53.297268982599235,6,7.098093237965472,6
NO_BRIDGE_CREDIT,RO-A5,INTEGRATED,60.70523603000018,51.92797038902443,63.838392546652905,51.558920511909996,57.00762986939688,1,100.0,1
NO_BRIDGE_CREDIT,RO-A6,ENERGY,60.34749377306297,47.889755316005186,63.831874619856016,51.43571946395081,55.876210793218746,2,71.36603578026558,2
NO_BRIDGE_CREDIT,RO-A6,MAINT,50.89921698278155,51.31642493682371,63.831874619856016,51.43571946395081,54.37080900085302,3,30.38528173193502,3
NO_BRIDGE_CREDIT,RO-A6,CIRCULAR,51.56278652530864,47.56148812881046,63.831874619856016,51.43571946395081,53.59796718448148,5,17.47173659547268,5
